Company,Name,Email,Phone,Address,City,State,Postal Code,Country,Vat No,CF 1,CF 2,CF 3,CF 4,CF 5,CF 6
Công ty TNHH HINP,Công ty TNHH HINP,admin@scodeweb.com,312593683,"120/3, Nguyễn Quý Anh,",hcm,WP,58100,Vietnam,312593683,NCC000011,,,,,
CÔNG TY CỔ PHẦN XÂY DỰNG VẬT LIỆU XANH,CÔNG TY CỔ PHẦN XÂY DỰNG VẬT LIỆU XANH,gmcc.hanoi@gmail.com,985081010,"27 ngõ 114, đường Vũ Trọng Phụng",,,,,106100702,NCC000010,,,,,
CÔNG TY TNHH TM&DV PHẠM GIA NGUYỄN,CÔNG TY TNHH TM&DV PHẠM GIA NGUYỄN,pgn@mayvesinh.com,933142222,"17,19 đường D15",,,,,305380282,NCC000009,,,,,
CÔNG TY TNHH HỒNG ĐẠT,CÔNG TY TNHH HỒNG ĐẠT,,2835925242,"2969A Quốc lộ 1A, Khu phố 5, phường Tân Thới Nhất, Quận 12, TP Hồ Chí Minh",,,,,302152520,NCC000008,,,,,
Nguyễn Quốc Trung,Nguyễn Quốc Trung,,,,,,,,,ĐNTC.NQT,,,,,
Công ty TNHH SX & TM Khánh Việt,Công ty TNHH SX & TM Khánh Việt,,,,,,,,,NCC000007,,,,,
Công ty TNHH TM DV TPC,Công ty TNHH TM DV TPC,,,,,,,,,NCC000006,,,,,
Khắc Trung Auto,Khắc Trung Auto,,,,,,,,,NCC000005,,,,,
CÔNG TY TNHH CÔNG NGHIỆP NAM WELDCOM,CÔNG TY TNHH CÔNG NGHIỆP NAM WELDCOM,,,,,,,,311979123,NCC000004,,,,,
CTY TNHH Kim Minh CL,CTY TNHH Kim Minh CL,,,,,,,,,NCC000003,,,,,
Chi nhánh công ty TNHH Bosch Việt Nam,Chi nhánh công ty TNHH Bosch Việt Nam,,2862583690,33 Lê Duẫn,,,,,,NCC000002,,,,,
CÔNG TY CỔ PHẦN ĐỒ NGHỀ VIỆT NAM,CÔNG TY CỔ PHẦN ĐỒ NGHỀ VIỆT NAM,,028 6270 2954,"9/4/8 Đường Tên Lửa, Phường Bình Trị Đông B, Quận Bình Tân, TP Hồ Chí Minh",,,,,312548747,NCC000001,,,,,
