"Mã sản phẩm","Tên sản phẩm","Biến thể","Kho hiện tại","Kiểm kho"
06425690,"Máy In Laser Trắng Đen Canon LBP2900",,100.0000,
26525790,"Xe đạp điện 133 Phantom Katana Japan",,100.0000,
26525791,"Nồi inox 5 đáy Sunhouse SHG24224",,100.0000,
26525792,"Nước Ngọt Coca Cola 330ML thùng 24 Lon",,100.0000,
26525793,"KEM BODY MỀM TRẮNG DA",,100.0000,
26525794,"Thau nhựa bầu 8T2",Đỏ,40.0000,
26525794,"Thau nhựa bầu 8T2",xanh,60.0000,
26525795,"CB chống giật Panasonic 40A 30mA",,98.0000,
26525796,"iPhone 13 Pro Chính Hãng VN/A",,100.0000,
26525797,"HPX6000 Headphones DJ Behringr",,100.0000,
36800101,"Dell Gaming G15 5515 R5 5600H (P105F004CGR)",,2.0000,
39761147,"Bánh Quy Bơ Danisa",,93.0000,
59830429,"Đầm thời trang PTDA06",,100.0000,
59830430,"Tinh Dầu Cam Sả Nguyên Chất Yaris",,100.0000,
8850228000151,"Nước Tăng Lực RedBull Lon 250ml",,100.0000,
