"Mã sản phẩm","Tên sản phẩm","Biến thể","Kho hiện tại","Kiểm kho"
06008A7AK0,"Máy phun xịt rửa cao áp Universal AQT125",,2.0000,
06008A7EK0,"Máy phun xịt rửa áp lực cao Easy AQT 100",,1.0000,
06008A7EK1,"Máy phun xịt rửa áp lực caoEasyAQT 100LL",,1.0000,
06008A7FK0,"Máy phun xịt rửa áp lực cao Easy AQT 110",,2.0000,
0601063N81,"Máy cân mực laze GLL 5-50X AP KIT",,2.0000,
0601063V80,"Máy cân mực laze GLL 30 G",,1.0000,
06010725K0,"Máy đo khoảng cách laze GLM 30 Mới",,1.0000,
06010729K0,"Máy đo khoảng cách laze GLM 40",,1.0000,
0601081000,"Máy dò đa năng GMS 120",,2.0000,
0601096B00,"Giá ba chân (BT 150)",,1.0000,
06011A15K2,"GSB 550 (bộ set valy 80 món phụ kiện ngành điện)",,2.0000,
06011A15K7,"Máy khoan động lực BOSCH GSB 550 SET",,3.0000,
06011A21K1,"Máy khoan động lực BOSCH GSB 20-2 RE",,1.0000,
06011A45K0,"Máy khoan điện cầm tay BOSCH GBM 320",,17.0000,
06011A95K0,"Máy khoan điện cầm tay GBM 350",,1.0000,
06012161K1,"Máy khoan động lực GSB 10 RE",,1.0000,
06012241K0,"Máy mài thẳng BOSCH GGS 5000L",,1.0000,
06012271K0,"Máy khoan động lực BOSCH GSB 13 RE",,6.0000,
06012281K1,"Máy khoan động lực GSB 16RE cải tiến",,6.0000,
06012980K0,"Máy chà nhám rung cầm tay BOSCH GSS 2300",,5.0000,
06012A61K0,"Máy thổi nhiệt, máy thổi hơi nóng BOSCH GHG 18-60",,1.0000,
06012A62K0,"Máy thổi hơi nóng GHG 20-63",,1.0000,
06012A70K0,"Máy cưa lọng cầm tay BOSCH GST 700",,1.0000,
06012A80K0,"Máy chà nhám vuông mini BOSCH GSS 140",,3.0000,
060137508M,"Máy mài công tắc đuôi BOSCH GWS 6-100 S",,2.0000,
06013880K2,"Máy mài góc cầm tay BOSCH GWS 7-125",,1.0000,
06013885K0,"Máy mài góc cầm tay BOSCH GWS 7-100 ET",,3.0000,
06013886K0,"Máy mài góc GWS 7-100 T",,2.0000,
06013890K0,"Máy đánh bóng xe hơi BOSCH GPO 12 CE",,1.0000,
06013960K0,"Máy mài góc nhỏ cầm tay BOSCH GWS 900-100",,1.0000,
06013960K7,"Máy mài góc mini BOSCH GWS 9-125",,1.0000,
06013961K0,"Máy mài góc mini BOSCH GWS 900-100S",,3.0000,
06013961K2,"Máy mài góc nhỏ GWS 900-125S",,2.0000,
06013965K0,"Máy mài góc BOSCH GWS 9-100 P",,1.0000,
06013A00K0,"Máy cắt gạch GDC 140",,1.0000,
